Name,Exchange,Maker,Months,Contracts,Code,Ticked
FMPH,EUREX,MSCI Philippines Index,HMUZ,2,CHRIS/EUREX_FMPH,FALSE
FMPL,EUREX,MSCI Poland Index,HMUZ,2,CHRIS/EUREX_FMPL,FALSE
FMRS,EUREX,MSCI Russia Index,HMUZ,2,CHRIS/EUREX_FMRS,FALSE
FMRU,EUREX,MSCI Russia Price Index,HMUZ,2,CHRIS/EUREX_FMRU,FALSE
FMTH,EUREX,MSCI Thailand Index,HMUZ,2,CHRIS/EUREX_FMTH,FALSE
FMWO,EUREX,MSCI World Index,HMUZ,2,CHRIS/EUREX_FMWO,FALSE
FMX,LIFFE,AMX Index,FGHJKMNQUVXZ,2,CHRIS/LIFFE_FMX,FALSE
FMZA,EUREX,MSCI South Africa Index,HMUZ,2,CHRIS/EUREX_FMZA,FALSE
FO,CME,3.5% Fuel Oil Barges FOB Rdam (Platts) Crack Spread,FGHJKMNQUVXZ,16,CHRIS/CME_FO,FALSE
FOAM,EUREX,Mid-Term Euro-OAT,HMUZ,2,CHRIS/EUREX_FOAM,FALSE
FOAT,EUREX,Euro-OAT,HMUZ,2,CHRIS/EUREX_FOAT,FALSE
FP,CME,Florida Gas Zone 3 Natural Gas (Platts IFERC) Basis,FGHJKMNQUVXZ,2,CHRIS/CME_FP,FALSE
FPIG,EUREX,Piglets,FGHJKMNQUVXZ,2,CHRIS/EUREX_FPIG,FALSE
FRDX,EUREX,RDX USD Index,HMUZ,9,CHRIS/EUREX_FRDX,FALSE
FS,CME,1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rdam (Platts),FGHJKMNQUVXZ,2,CHRIS/CME_FS,FALSE
FS,ODE,Frozen Shrimp,FGHJKMNQUVXZ,2,CHRIS/ODE_FS,FALSE
FSLI,EUREX,SLI Swiss Leader Index,HMUZ,2,CHRIS/EUREX_FSLI,FALSE
FSMI,EUREX,SMI,HMUZ,2,CHRIS/EUREX_FSMI,FALSE
FSMM,EUREX,SMIM ,HMUZ,2,CHRIS/EUREX_FSMM,FALSE
FSMP,EUREX,Skimmed Milk Powder,FGHJKMNQUVXZ,10,CHRIS/EUREX_FSMP,FALSE
FSTX,EUREX,STOXX Europe 50 Index,HMUZ,2,CHRIS/EUREX_FSTX,FALSE
FTDX,EUREX,DivDAX,HMUZ,2,CHRIS/EUREX_FTDX,FALSE
FTI,LIFFE,AEX Index,FGHJKMNQUVXZ,4,CHRIS/LIFFE_FTI,FALSE
FTM,CME,MISO Indiana Hub Real-Time Off-Peak Calendar-Month 5 MW,FGHJKMNQUVXZ,10,CHRIS/CME_FTM,FALSE
FU,SHFE,Fuel Oil,FGHJKMNQUVXZ,2,CHRIS/SHFE_FU,FALSE
FV,CME,5 Year Treasury Note,HMUZ,2,CHRIS/CME_FV,FALSE
FVS,EUREX,VSTOXX,FGHJKMNQUVXZ,7,CHRIS/EUREX_FVS,FALSE
FWHY,EUREX,Whey Powder,FGHJKMNQUVXZ,2,CHRIS/EUREX_FWHY,FALSE
FY,CME,Dated Brent (Platts) to Frontline Brent,FGHJKMNQUVXZ,5,CHRIS/CME_FY,FALSE
G,ICE,Gasoil,FGHJKMNQUVXZ,13,CHRIS/ICE_G,FALSE
G,LIFFE,Short Gilt,HMUZ,2,CHRIS/LIFFE_G,FALSE
GA,CME,S&P-GSCI Excess Return Index,FGHJKMNQUVXZ,2,CHRIS/CME_GA,FALSE
GA,CME,S&P-GSCI Excess Return Index,FGHJKMNQUVXZ,2,CHRIS/CME_GA,FALSE
GC,CME,Gold,GHJKMQVZ,16,CHRIS/CME_GC,FALSE
GC,MCX,Gold,GJMQVZ,2,CHRIS/MCX_GC,FALSE
GCI,CME,Gulf Coast No.6 Fuel Oil 3.0% (Platts) Brent Crack Spread,FGHJKMNQUVXZ,2,CHRIS/CME_GCI,FALSE
GCU,CME,Gulf Coast No. 6 Fuel Oil 3.0% (Platts) vs. European 3.5% Fuel Oil Barges FOB Rdam (Platts),FGHJKMNQUVXZ,10,CHRIS/CME_GCU,FALSE
GD,MCX,Gold Petal New Delhi,FGHJKMNQUVXZ,2,CHRIS/MCX_GD,FALSE
GE,CME,Gulf Coast Jet Fuel (Platts),FGHJKMNQUVXZ,2,CHRIS/CME_GE,FALSE
GER,ICE,Endex German GASPOOL,FGHJKMNQUVXZ,2,CHRIS/ICE_GER,FALSE
